year_month,median_price,mean_price,listing_count,median_age,median_odometer,year_month_dt,month_index,make,model,rolling_3m_price,price_change_pct
2014-12,8725.0,8239.297904191617,668,3.0,57684.5,2014-12-01,0,Toyota,Corolla,8725.0,0.0
2015-01,9600.0,9053.274543378995,1752,4.0,48802.5,2015-01-01,1,Toyota,Corolla,9162.5,0.10028653295128942
2015-02,10300.0,9581.544634377968,2106,3.0,47128.0,2015-02-01,2,Toyota,Corolla,9541.666666666666,0.07291666666666674
2015-03,10700.0,9890.046852122987,683,3.0,45082.0,2015-03-01,3,Toyota,Corolla,10200.0,0.03883495145631066
2015-04,9300.0,10100.0,15,3.0,52654.0,2015-04-01,4,Toyota,Corolla,10100.0,-0.13084112149532712
2015-05,9900.0,9443.409509202455,652,2.0,48164.5,2015-05-01,5,Toyota,Corolla,9966.666666666666,0.06451612903225801
2015-06,10000.0,9440.502530730297,1383,3.0,46100.0,2015-06-01,6,Toyota,Corolla,9733.333333333334,0.010101010101010166
2015-07,10300.0,12572.727272727272,11,2.0,33844.0,2015-07-01,7,Toyota,Corolla,10066.666666666666,0.030000000000000027
2014-12,8600.0,8122.921108742004,938,4.0,60743.0,2014-12-01,0,Honda,Civic,8600.0,0.0
2015-01,10200.0,8941.783847980998,2105,3.0,43111.0,2015-01-01,1,Honda,Civic,9400.0,0.18604651162790709
2015-02,10300.0,9137.442325581394,2150,3.0,45260.0,2015-02-01,2,Honda,Civic,9700.0,0.009803921568627416
2015-03,9100.0,8441.282565130261,499,5.0,61848.0,2015-03-01,3,Honda,Civic,9866.666666666666,-0.11650485436893199
2015-04,9300.0,8411.764705882353,17,3.0,34443.0,2015-04-01,4,Honda,Civic,9566.666666666666,0.0219780219780219
2015-05,9300.0,8374.740932642488,579,3.0,53274.0,2015-05-01,5,Honda,Civic,9233.333333333334,0.0
2015-06,9800.0,8752.167630057804,1038,3.0,47530.5,2015-06-01,6,Honda,Civic,9466.666666666666,0.053763440860215006
2015-07,10000.0,9600.0,11,3.0,34353.0,2015-07-01,7,Honda,Civic,9700.0,0.020408163265306145
2014-12,9500.0,8931.51540383014,1201,5.0,76512.0,2014-12-01,0,Honda,Accord,9500.0,0.0
2015-01,11400.0,10078.739693757361,2547,4.0,49677.0,2015-01-01,1,Honda,Accord,10450.0,0.19999999999999996
2015-02,11200.0,10073.78194888179,2504,4.0,57555.5,2015-02-01,2,Honda,Accord,10700.0,-0.01754385964912286
2015-03,9000.0,8937.699822380107,563,6.0,85585.0,2015-03-01,3,Honda,Accord,10533.333333333334,-0.1964285714285714
2015-04,9800.0,9847.222222222223,18,4.0,70940.5,2015-04-01,4,Honda,Accord,10000.0,0.0888888888888888
2015-05,11200.0,9799.167822468793,721,4.0,55616.0,2015-05-01,5,Honda,Accord,10000.0,0.1428571428571428
2015-06,11400.0,10300.182882223848,1367,3.0,53139.0,2015-06-01,6,Honda,Accord,10800.0,0.017857142857142794
2015-07,13500.0,12242.307692307691,13,3.0,50639.0,2015-07-01,7,Honda,Accord,12033.333333333334,0.18421052631578938
